"batsman","pacespin","format","batting_team","year","matches","runs","balls","wickets","fours","sixes","sr","bpw","nbsr"
"K Pierre","Pace","T20","West Indies",2018,2,10,9,1,2,0,111.1,9,28.6
"K Pierre","Pace","T20","West Indies",2019,2,5,11,1,0,0,45.5,11,45.5
"K Pierre","Spin","T20","West Indies",2019,1,2,3,0,0,0,66.7,999,66.7
"K Rabada","Pace","IPL","Delhi Capitals",2019,4,14,13,2,0,1,107.7,6.5,66.7
"K Rabada","Pace","IPL","Delhi Capitals",2020,7,50,44,4,3,2,113.6,11,66.7
"K Rabada","Spin","IPL","Delhi Capitals",2020,2,7,6,0,1,0,116.7,999,60
"K Rabada","Pace","IPL","Delhi Capitals",2021,2,13,5,0,2,0,260,999,166.7
"K Rabada","Pace","IPL","Delhi Daredevils",2017,2,26,28,2,3,0,92.9,14,56
"K Rabada","Spin","IPL","Delhi Daredevils",2017,3,29,36,1,2,1,80.6,36,45.5
"K Rabada","Pace","NTB","Kent",2016,4,3,8,2,0,0,37.5,4,37.5
"K Rabada","Spin","T20","South Africa",2018,1,0,2,1,0,0,0,2,0
"K Rabada","Pace","T20","South Africa",2019,1,0,4,1,0,0,0,4,0
"K Rabada","Pace","T20","South Africa",2020,3,21,16,1,3,1,131.2,16,25
"K Rabada","Spin","T20","South Africa",2020,1,11,11,1,0,1,100,11,50
"K Rabada","Pace","T20","South Africa",2021,7,77,57,0,7,3,135.1,999,66
"K Rabada","Spin","T20","South Africa",2021,3,7,7,0,1,0,100,999,50
"K Roca","Pace","T20","Belize",2018,2,2,6,2,0,0,33.3,3,33.3
"K Roca","Spin","T20","Belize",2018,3,10,31,3,1,0,32.3,10.3,20
"K Santokie","Pace","CPL","Jamaica Tallawahs",2017,5,22,23,2,0,2,95.7,11.5,47.6
"K Santokie","Spin","CPL","Jamaica Tallawahs",2017,1,9,6,0,0,1,150,999,60
"K Santokie","Pace","CPL","Jamaica Tallawahs",2018,1,0,1,1,0,0,0,1,0
"K Santokie","Spin","CPL","Jamaica Tallawahs",2018,1,0,1,0,0,0,0,999,0
"K Santokie","Pace","CPL","St Kitts and Nevis Patriots",2016,4,8,17,2,0,0,47.1,8.5,47.1
"K Santokie","Spin","CPL","St Kitts and Nevis Patriots",2016,2,13,12,1,2,0,108.3,12,50
"K Santokie","Pace","CPL","St Lucia Zouks",2019,2,16,10,0,1,1,160,999,75
"K Santokie","Spin","CPL","St Lucia Zouks",2019,2,6,5,1,1,0,120,5,50
"K Sinclair","Pace","CPL","Guyana Amazon Warriors",2020,2,6,11,0,0,0,54.5,999,54.5
"K Sinclair","Spin","CPL","Guyana Amazon Warriors",2020,3,3,18,3,0,0,16.7,6,16.7
"K Sinclair","Pace","CPL","Guyana Amazon Warriors",2021,1,3,2,1,0,0,150,2,150
"K Sinclair","Spin","CPL","Guyana Amazon Warriors",2021,1,0,3,1,0,0,0,3,0
"K Sinclair","Pace","T20","West Indies",2021,1,0,1,0,0,0,0,999,0
"K Sinclair","Spin","T20","West Indies",2021,1,3,8,1,0,0,37.5,8,37.5
"K Subramanian","Pace","T20","Singapore",2018,1,3,2,0,0,0,150,999,150
"K Suresh","Pace","T20","Singapore",2016,1,2,6,0,0,0,33.3,999,33.3
"K Suresh","Spin","T20","Singapore",2016,1,1,2,0,0,0,50,999,50
"K Suttisan","Spin","T20","Thailand",2018,1,0,1,1,0,0,0,1,0
"K Suttisan","Spin","T20","Thailand",2019,2,4,4,2,1,0,100,2,0
"K Takahashi","Pace","T20","Japan",2018,1,4,7,0,0,0,57.1,999,57.1
"K Waiswa","Pace","T20","Uganda",2021,4,33,33,2,3,1,100,16.5,51.7
"K Waiswa","Spin","T20","Uganda",2021,4,30,45,2,2,1,66.7,22.5,38.1
"K Wakita","Pace","T20","Japan",2018,3,19,17,1,1,0,111.8,17,93.8
"K Wakita","Spin","T20","Japan",2018,1,3,2,0,0,0,150,999,150
"K Yadav","Pace","IPL","Rajasthan Royals",2021,1,0,4,0,0,0,0,999,0
"KA Hope","Pace","CPL","Barbados Tridents",2016,4,47,45,3,5,1,104.4,15,53.8
"KA Hope","Spin","CPL","Barbados Tridents",2016,3,18,17,1,1,1,105.9,17,53.3
"KA Jamieson","Pace","T20","New Zealand",2021,2,25,14,1,5,0,178.6,14,55.6
"KA Jamieson","Spin","T20","New Zealand",2021,2,16,13,1,2,0,123.1,13,72.7
"KA Jamieson","Pace","IPL","Royal Challengers Bangalore",2021,5,42,32,3,3,2,131.2,10.7,66.7
"KA Jamieson","Spin","IPL","Royal Challengers Bangalore",2021,3,23,24,1,2,1,95.8,24,42.9
"KA Jamieson","Pace","NTB","Surrey",2021,4,46,31,2,4,2,148.4,15.5,72
"KA Maharaj","Pace","T20","South Africa",2021,1,0,2,1,0,0,0,2,0
"KA Maharaj","Pace","NTB","Yorkshire",2019,1,6,9,0,0,0,66.7,999,66.7
"KA Maharaj","Spin","NTB","Yorkshire",2019,1,3,3,0,0,0,100,999,100
"KA Pollard","Pace","BBL","Adelaide Strikers",2017,8,108,72,7,5,6,150,10.3,85.2
"KA Pollard","Spin","BBL","Adelaide Strikers",2017,5,36,25,1,2,2,144,25,76.2
"KA Pollard","Pace","CPL","Barbados Tridents",2016,7,91,59,6,6,5,154.2,9.8,77.1
"KA Pollard","Spin","CPL","Barbados Tridents",2016,3,46,36,0,4,2,127.8,999,60
"KA Pollard","Pace","CPL","Barbados Tridents",2017,9,147,83,5,6,12,177.1,16.6,78.5
"KA Pollard","Spin","CPL","Barbados Tridents",2017,8,117,92,3,4,9,127.2,30.7,59.5
"KA Pollard","Pace","PSL","Karachi Kings",2017,9,155,96,3,13,7,161.5,32,80.3
"KA Pollard","Spin","PSL","Karachi Kings",2017,5,46,21,2,2,4,219,10.5,93.3
"KA Pollard","Pace","BBL","Melbourne Renegades",2018,4,40,33,3,3,1,121.2,11,75.9
"KA Pollard","Spin","BBL","Melbourne Renegades",2018,3,27,21,0,1,1,128.6,999,89.5
"KA Pollard","Pace","PSL","Multan Sultans",2018,6,142,89,3,12,9,159.6,29.7,58.8
"KA Pollard","Spin","PSL","Multan Sultans",2018,5,23,21,2,2,1,109.5,10.5,50
"KA Pollard","Pace","IPL","Mumbai Indians",2016,11,160,107,7,9,13,149.5,15.3,54.1
"KA Pollard","Spin","IPL","Mumbai Indians",2016,8,47,37,1,2,3,127,37,65.6
"KA Pollard","Pace","IPL","Mumbai Indians",2017,15,256,176,9,23,11,145.5,19.6,69
"KA Pollard","Spin","IPL","Mumbai Indians",2017,14,138,102,5,4,12,135.3,20.4,58.1
"KA Pollard","Pace","IPL","Mumbai Indians",2018,7,90,62,4,8,4,145.2,15.5,68
"KA Pollard","Spin","IPL","Mumbai Indians",2018,5,39,36,3,1,3,108.3,12,53.1
"KA Pollard","Pace","IPL","Mumbai Indians",2019,12,166,108,6,9,12,153.7,18,66.7
"KA Pollard","Spin","IPL","Mumbai Indians",2019,11,92,59,2,5,7,155.9,29.5,63.8
"KA Pollard","Pace","IPL","Mumbai Indians",2020,11,177,95,4,15,11,186.3,23.8,73.9
"KA Pollard","Spin","IPL","Mumbai Indians",2020,7,102,52,2,2,11,196.2,26,71.8
"KA Pollard","Pace","IPL","Mumbai Indians",2021,12,193,122,6,16,11,158.2,20.3,66.3
"KA Pollard","Spin","IPL","Mumbai Indians",2021,8,50,40,2,0,5,125,20,57.1
"KA Pollard","Pace","PSL","Peshawar Zalmi",2019,12,212,122,7,16,15,173.8,17.4,63.7
"KA Pollard","Spin","PSL","Peshawar Zalmi",2019,10,72,42,3,3,8,171.4,14,38.7
"KA Pollard","Pace","CPL","St Lucia Stars",2018,9,207,120,6,13,14,172.5,20,76.3
"KA Pollard","Spin","CPL","St Lucia Stars",2018,8,123,87,1,7,8,141.4,87,65.3
"KA Pollard","Pace","CPL","Trinbago Knight Riders",2019,11,296,181,4,28,15,163.5,45.2,68.1
"KA Pollard","Spin","CPL","Trinbago Knight Riders",2019,7,58,42,2,3,4,138.1,21,62.9
"KA Pollard","Pace","CPL","Trinbago Knight Riders",2020,7,125,60,3,8,10,208.3,20,78.6
"KA Pollard","Spin","CPL","Trinbago Knight Riders",2020,5,82,41,1,1,10,200,41,60
"KA Pollard","Pace","CPL","Trinbago Knight Riders",2021,10,167,104,7,14,12,160.6,14.9,50
"KA Pollard","Spin","CPL","Trinbago Knight Riders",2021,9,94,62,1,2,9,151.6,62,62.7
"KA Pollard","Pace","T20","West Indies",2016,5,58,46,2,2,3,126.1,23,78
"KA Pollard","Spin","T20","West Indies",2016,4,20,23,2,1,0,87,11.5,72.7
"KA Pollard","Pace","T20","West Indies",2017,4,12,23,3,1,0,52.2,7.7,36.4
"KA Pollard","Spin","T20","West Indies",2017,4,14,21,1,1,0,66.7,21,50
"KA Pollard","Pace","T20","West Indies",2018,2,5,19,1,0,0,26.3,19,26.3
"KA Pollard","Spin","T20","West Indies",2018,2,15,18,1,1,1,83.3,18,31.2
"KA Pollard","Pace","T20","West Indies",2019,7,137,103,5,8,10,133,20.6,52.9
"KA Pollard","Spin","T20","West Indies",2019,8,133,98,1,5,11,135.7,98,57.3
"KA Pollard","Pace","T20","West Indies",2020,4,95,48,1,6,8,197.9,48,67.6
"KA Pollard","Spin","T20","West Indies",2020,4,73,34,2,2,9,214.7,17,47.8
"KA Pollard","Pace","T20","West Indies",2021,11,159,120,6,8,9,132.5,20,70.9
"KA Pollard","Spin","T20","West Indies",2021,14,83,62,5,1,9,133.9,12.4,48.1
"Kaleem Shah","Pace","T20","Mozambique",2018,3,19,18,2,3,0,105.6,9,46.7
"Kaleem Shah","Spin","T20","Mozambique",2018,1,11,16,0,2,0,68.8,999,21.4
"Kaleemullah","Pace","T20","Oman",2017,1,0,1,1,0,0,0,1,0
"Kaleemullah","Pace","T20","Oman",2019,1,7,3,1,0,1,233.3,3,50
"Kaleemullah","Spin","T20","Oman",2019,1,2,3,0,0,0,66.7,999,66.7
"Kaleemullah","Pace","T20","Oman",2021,1,4,4,1,1,0,100,4,0
"Kaleemullah","Spin","T20","Oman",2021,1,1,1,0,0,0,100,999,100
"Kamran Akmal","Pace","T20","Pakistan",2017,3,34,35,0,4,1,97.1,999,40
"Kamran Akmal","Spin","T20","Pakistan",2017,4,56,45,4,6,3,124.4,11.2,38.9
"Kamran Akmal","Pace","PSL","Peshawar Zalmi",2016,8,50,61,2,6,0,82,30.5,47.3
"Kamran Akmal","Spin","PSL","Peshawar Zalmi",2016,8,72,67,6,4,3,107.5,11.2,63.3
"Kamran Akmal","Pace","PSL","Peshawar Zalmi",2017,10,200,162,4,22,5,123.5,40.5,60.7
"Kamran Akmal","Spin","PSL","Peshawar Zalmi",2017,10,154,112,7,10,11,137.5,16,52.7
"Kamran Akmal","Pace","PSL","Peshawar Zalmi",2018,12,264,185,7,31,14,142.7,26.4,40
"Kamran Akmal","Spin","PSL","Peshawar Zalmi",2018,9,161,92,4,10,14,175,23,54.4
"Kamran Akmal","Pace","PSL","Peshawar Zalmi",2019,13,175,168,10,26,3,104.2,16.8,38.1
"Kamran Akmal","Spin","PSL","Peshawar Zalmi",2019,8,182,91,3,16,15,200,30.3,46.7
"Kamran Akmal","Pace","PSL","Peshawar Zalmi",2020,9,195,127,6,25,6,153.5,21.2,61.5
"Kamran Akmal","Spin","PSL","Peshawar Zalmi",2020,3,56,28,3,6,4,200,9.3,44.4
"Kamran Akmal","Pace","PSL","Peshawar Zalmi",2021,12,173,148,10,25,4,116.9,14.8,41.2
"Kamran Akmal","Spin","PSL","Peshawar Zalmi",2021,5,74,43,2,9,2,172.1,21.5,81.2
"Kamran Akmal","Pace","CPL","St Lucia Stars",2017,4,5,10,1,0,0,50,10,50
"Kamran Akmal","Spin","CPL","St Lucia Stars",2017,5,24,23,4,2,1,104.3,5.8,50
"Kamran Ghulam","Pace","PSL","Islamabad United",2016,1,2,3,1,0,0,66.7,3,66.7
"Kamran Ghulam","Spin","PSL","Islamabad United",2016,1,7,9,0,0,0,77.8,999,77.8
"Kamran Khan (2)","Pace","T20","Qatar",2016,2,14,13,2,0,1,107.7,6.5,66.7
"Kamran Khan (2)","Spin","T20","Qatar",2016,1,11,10,1,1,1,110,10,12.5
"Kamran Khan (2)","Pace","T20","Qatar",2018,5,54,36,2,4,4,150,18,50
"Kamran Khan (2)","Spin","T20","Qatar",2018,4,37,24,2,2,3,154.2,12,57.9
"Kamran Khan (2)","Pace","T20","Qatar",2019,3,21,19,2,4,0,110.5,9.5,33.3
"Kamran Khan (2)","Spin","T20","Qatar",2019,4,41,36,2,6,2,113.9,18,17.9
"Kamran Khan (2)","Pace","T20","Qatar",2020,2,40,42,1,2,2,95.2,42,52.6
"Kamran Khan (2)","Spin","T20","Qatar",2020,2,19,15,1,1,2,126.7,15,25
"KAR Hodge","Pace","CPL","St Lucia Stars",2018,3,21,13,3,3,1,161.5,4.3,33.3
"KAR Hodge","Pace","CPL","St Lucia Zouks",2019,2,14,11,1,2,0,127.3,11,66.7
"KAR Hodge","Spin","CPL","St Lucia Zouks",2019,1,0,1,1,0,0,0,1,0
"KAR Hodge","Pace","CPL","St Lucia Zouks",2020,1,3,4,1,0,0,75,4,75
"KAR Hodge","Spin","CPL","St Lucia Zouks",2020,1,10,20,0,0,0,50,999,50
"Karan KC","Pace","T20","Nepal",2018,2,35,12,0,1,4,291.7,999,100
"Karan KC","Spin","T20","Nepal",2018,2,22,12,0,2,1,183.3,999,88.9
"Karan KC","Pace","T20","Nepal",2019,10,142,73,4,7,12,194.5,18.2,77.8
"Karan KC","Spin","T20","Nepal",2019,9,26,37,5,2,0,70.3,7.4,51.4
"Karan KC","Pace","T20","Nepal",2020,1,0,1,1,0,0,0,1,0
"Karan KC","Spin","T20","Nepal",2020,1,7,5,0,0,1,140,999,25
"Karan KC","Pace","T20","Nepal",2021,2,45,14,2,0,7,321.4,7,42.9
"Karan KC","Spin","T20","Nepal",2021,1,1,1,0,0,0,100,999,100
"Karim Janat","Pace","T20","Afghanistan",2016,1,7,7,0,1,0,100,999,50
"Karim Janat","Spin","T20","Afghanistan",2016,1,13,14,0,0,1,92.9,999,53.8
"Karim Janat","Pace","T20","Afghanistan",2017,6,54,47,5,2,4,114.9,9.4,53.7
"Karim Janat","Spin","T20","Afghanistan",2017,5,30,30,0,2,1,100,999,59.3
"Karim Janat","Pace","T20","Afghanistan",2019,5,21,29,4,2,0,72.4,7.2,48.1
"Karim Janat","Spin","T20","Afghanistan",2019,1,15,8,0,3,0,187.5,999,60
"Karim Janat","Pace","T20","Afghanistan",2020,2,10,12,1,1,0,83.3,12,54.5
"Karim Janat","Spin","T20","Afghanistan",2020,2,13,10,1,0,1,130,10,77.8
"Karim Janat","Pace","T20","Afghanistan",2021,6,111,65,2,8,7,170.8,32.5,74
"Karim Janat","Spin","T20","Afghanistan",2021,5,48,50,3,4,1,96,16.7,57.8
"Karim Sadiq","Pace","T20","Afghanistan",2016,6,51,37,5,7,0,137.8,7.4,76.7
"Karim Sadiq","Spin","T20","Afghanistan",2016,4,59,50,1,6,1,118,50,67.4
"Karim Sadiq","Pace","T20","Afghanistan",2018,2,19,17,1,2,1,111.8,17,35.7
"Karim Sadiq","Spin","T20","Afghanistan",2018,1,14,20,1,1,0,70,20,52.6
"Kartik Tyagi","Pace","IPL","Rajasthan Royals",2020,2,4,6,1,0,0,66.7,6,66.7
"Kartik Tyagi","Pace","IPL","Rajasthan Royals",2021,2,2,4,1,0,0,50,4,50
"Karweng NG","Pace","T20","Philippines",2018,2,19,21,2,1,1,90.5,10.5,47.4
"Karweng NG","Spin","T20","Philippines",2018,2,8,9,1,0,0,88.9,9,88.9
"Karweng NG","Pace","T20","Philippines",2019,3,6,12,2,0,0,50,6,50
"Karweng NG","Spin","T20","Philippines",2019,2,15,17,1,0,1,88.2,17,56.2
"Kashif Daud","Pace","T20","United Arab Emirates",2021,3,39,21,1,3,2,185.7,21,93.8
"Kashif Daud","Spin","T20","United Arab Emirates",2021,1,1,1,0,0,0,100,999,100
"KC Cariappa","Pace","IPL","Kings XI Punjab",2016,1,1,3,1,0,0,33.3,3,33.3
"KC Cariappa","Spin","IPL","Kings XI Punjab",2016,1,12,8,0,0,1,150,999,85.7
"KC Cariappa","Pace","IPL","Kings XI Punjab",2017,2,1,5,2,0,0,20,2.5,20
"KC Cariappa","Spin","IPL","Kolkata Knight Riders",2019,1,9,3,0,0,1,300,999,150
"KC D'Souza","Pace","T20","Bulgaria",2020,3,42,44,1,2,1,95.5,44,68.3
"KC D'Souza","Spin","T20","Bulgaria",2020,1,5,6,0,0,0,83.3,999,83.3
"KC D'Souza","Pace","T20","Bulgaria",2021,5,59,36,4,7,3,163.9,9,50
"KC D'Souza","Spin","T20","Bulgaria",2021,4,16,15,1,1,1,106.7,15,46.2
"KC Ramamoorthy","Pace","T20","Indonesia",2018,3,19,29,2,1,0,65.5,14.5,53.6
"KC Ramamoorthy","Spin","T20","Indonesia",2018,3,26,27,1,3,0,96.3,27,58.3
"KC Sangakkara","Pace","BBL","Hobart Hurricanes",2016,4,16,22,3,1,0,72.7,7.3,57.1
"KC Sangakkara","Spin","BBL","Hobart Hurricanes",2016,5,14,15,2,1,0,93.3,7.5,71.4
"KC Sangakkara","Pace","BBL","Hobart Hurricanes",2017,5,43,30,1,4,1,143.3,30,84
"KC Sangakkara","Spin","BBL","Hobart Hurricanes",2017,5,25,26,3,2,0,96.2,8.7,70.8
"KC Sangakkara","Pace","CPL","Jamaica Tallawahs",2016,11,177,130,5,20,4,136.2,26,68.9
"KC Sangakkara","Spin","CPL","Jamaica Tallawahs",2016,10,91,64,5,9,3,142.2,12.8,71.2
"KC Sangakkara","Pace","CPL","Jamaica Tallawahs",2017,8,204,122,6,28,6,167.2,20.3,63.6
"KC Sangakkara","Spin","CPL","Jamaica Tallawahs",2017,9,175,157,3,12,4,111.5,52.3,73
"KC Sangakkara","Pace","PSL","Karachi Kings",2017,9,114,89,6,13,1,128.1,14.8,74.7
"KC Sangakkara","Spin","PSL","Karachi Kings",2017,9,101,92,4,7,4,109.8,23,60.5
"KC Sangakkara","Pace","PSL","Multan Sultans",2018,7,175,115,4,21,8,152.2,28.8,50
"KC Sangakkara","Spin","PSL","Multan Sultans",2018,8,94,100,4,6,2,94,25,63
"KC Sangakkara","Pace","PSL","Quetta Gladiators",2016,4,86,58,4,11,2,148.3,14.5,66.7
"KC Sangakkara","Spin","PSL","Quetta Gladiators",2016,3,43,31,0,6,0,138.7,999,76
"KC Sangakkara","Pace","NTB","Surrey",2016,7,137,79,6,22,2,173.4,13.2,67.3
"KC Sangakkara","Spin","NTB","Surrey",2016,5,83,51,2,8,2,162.7,25.5,95.1
"KC Sangakkara","Pace","NTB","Surrey",2017,4,67,42,2,6,3,159.5,21,75.8
"KC Sangakkara","Spin","NTB","Surrey",2017,4,53,40,2,3,2,132.5,20,82.9
"KD Karthik","Pace","IPL","Gujarat Lions",2016,14,152,129,7,19,1,117.8,18.4,64.2
"KD Karthik","Spin","IPL","Gujarat Lions",2016,13,183,136,6,19,2,134.6,22.7,82.6
"KD Karthik","Pace","IPL","Gujarat Lions",2017,11,252,171,7,22,7,147.4,24.4,85.9
"KD Karthik","Spin","IPL","Gujarat Lions",2017,11,109,88,3,8,4,123.9,29.3,69.7
"KD Karthik","Spin","T20","ICC World XI",2018,1,0,5,1,0,0,0,5,0
"KD Karthik","Pace","T20","India",2017,3,37,21,0,1,3,176.2,999,88.2
"KD Karthik","Spin","T20","India",2017,1,34,22,1,5,1,154.5,22,50
"KD Karthik","Pace","T20","India",2018,9,145,79,2,18,6,183.5,39.5,67.3
"KD Karthik","Spin","T20","India",2018,4,36,35,0,2,0,102.9,999,84.8
"KD Karthik","Pace","T20","India",2019,4,47,26,1,2,4,180.8,26,75
"KD Karthik","Spin","T20","India",2019,1,0,2,1,0,0,0,2,0
"KD Karthik","Pace","IPL","Kolkata Knight Riders",2018,15,295,189,8,26,13,156.1,23.6,75.3
"KD Karthik","Spin","IPL","Kolkata Knight Riders",2018,14,193,138,2,22,3,139.9,69,77
"KD Karthik","Pace","IPL","Kolkata Knight Riders",2019,12,167,107,5,11,12,156.1,21.4,60.7
"KD Karthik","Spin","IPL","Kolkata Knight Riders",2019,7,87,64,3,11,2,135.9,21.3,60.8
"KD Karthik","Pace","IPL","Kolkata Knight Riders",2020,12,136,103,6,17,3,132,17.2,60.2
"KD Karthik","Spin","IPL","Kolkata Knight Riders",2020,9,33,33,6,3,1,100,5.5,51.7
"KD Karthik","Pace","IPL","Kolkata Knight Riders",2021,14,153,113,7,13,6,135.4,16.1,69.1
"KD Karthik","Spin","IPL","Kolkata Knight Riders",2021,10,60,52,3,7,1,115.4,17.3,59.1
"KD Kesuma","Pace","T20","Indonesia",2018,1,1,3,1,0,0,33.3,3,33.3
"KD Mehta","Pace","T20","Czech Republic",2021,1,1,2,1,0,0,50,2,50
"KD Shah","Pace","T20","Hong Kong",2016,6,36,37,3,5,0,97.3,12.3,50
"KD Shah","Spin","T20","Hong Kong",2016,3,18,19,2,2,1,94.7,9.5,25
"KD Shah","Pace","T20","Hong Kong",2019,10,152,118,6,12,6,128.8,19.7,68
"KD Shah","Spin","T20","Hong Kong",2019,9,119,120,3,7,3,99.2,40,66.4
"KD Shah","Pace","T20","Hong Kong",2020,7,72,49,3,10,1,146.9,16.3,68.4
"KD Shah","Spin","T20","Hong Kong",2020,9,71,60,4,7,1,118.3,15,71.2
"KDK Vithanage","Pace","T20","Sri Lanka",2016,1,1,2,1,0,0,50,2,50
"KDK Vithanage","Spin","T20","Sri Lanka",2016,1,0,2,0,0,0,0,999,0
"KF Bakiweyem","Pace","T20","Ghana",2021,3,6,20,2,0,0,30,10,30
"KF Bakiweyem","Spin","T20","Ghana",2021,2,7,8,1,0,0,87.5,8,87.5
"KH Pandya","Pace","T20","India",2018,2,11,8,1,1,0,137.5,8,100
"KH Pandya","Spin","T20","India",2018,1,12,5,0,2,0,240,999,133.3
"KH Pandya","Pace","T20","India",2019,7,74,54,4,4,5,137,13.5,62.2
"KH Pandya","Spin","T20","India",2019,4,24,25,0,1,1,96,999,60.9
"KH Pandya","Pace","T20","India",2021,1,3,3,0,0,0,100,999,100
"KH Pandya","Pace","IPL","Mumbai Indians",2016,8,108,74,5,14,2,145.9,14.8,69
"KH Pandya","Spin","IPL","Mumbai Indians",2016,5,129,51,1,8,11,252.9,51,96.9
"KH Pandya","Pace","IPL","Mumbai Indians",2017,10,172,118,6,17,5,145.8,19.7,77.1
"KH Pandya","Spin","IPL","Mumbai Indians",2017,8,71,62,2,7,2,114.5,31,58.5
"KH Pandya","Pace","IPL","Mumbai Indians",2018,11,148,106,6,13,7,139.6,17.7,62.8
"KH Pandya","Spin","IPL","Mumbai Indians",2018,10,67,43,4,6,3,155.8,10.8,73.5
"KH Pandya","Pace","IPL","Mumbai Indians",2019,11,123,79,7,16,2,155.7,11.3,77
"KH Pandya","Spin","IPL","Mumbai Indians",2019,10,58,67,3,2,3,86.6,22.3,51.6
"KH Pandya","Pace","IPL","Mumbai Indians",2020,9,38,36,3,2,2,105.6,12,56.2
"KH Pandya","Spin","IPL","Mumbai Indians",2020,6,51,52,3,5,1,98.1,17.3,54.3
"KH Pandya","Pace","IPL","Mumbai Indians",2021,10,105,80,6,9,4,131.2,13.3,67.2
"KH Pandya","Spin","IPL","Mumbai Indians",2021,7,33,40,4,0,2,82.5,10,55.3
"KH Prajapati","Pace","T20","Oman",2021,2,22,24,2,1,2,91.7,12,28.6
"KH Prajapati","Spin","T20","Oman",2021,1,2,2,0,0,0,100,999,100
"Khaibar Deldar","Pace","T20","Hungary",2021,3,7,10,3,1,0,70,3.3,33.3
"Khaled Khan","Pace","T20","Germany",2016,1,13,7,0,1,1,185.7,999,60
"Khalid Ahmadi","Pace","T20","Belgium",2020,2,29,11,1,3,2,263.6,11,83.3
"Khalid Ahmadi","Spin","T20","Belgium",2020,1,10,3,0,1,1,333.3,999,0
"Khalid Ahmadi","Pace","T20","Belgium",2021,3,22,16,1,3,0,137.5,16,76.9
"Khalid Ahmadi","Spin","T20","Belgium",2021,1,12,7,0,2,0,171.4,999,80
"Khalid Latif","Pace","PSL","Islamabad United",2016,7,115,95,3,8,4,121.1,31.7,71.1
"Khalid Latif","Spin","PSL","Islamabad United",2016,7,91,78,3,3,5,116.7,26,70
"Khalid Latif","Pace","T20","Pakistan",2016,6,121,97,2,17,1,124.7,48.5,59.5
"Khalid Latif","Spin","T20","Pakistan",2016,5,82,81,2,5,4,101.2,40.5,52.8
"Khalid Usman","Pace","PSL","Peshawar Zalmi",2018,1,5,7,0,0,0,71.4,999,71.4
"Khalid Usman","Spin","PSL","Peshawar Zalmi",2018,1,2,2,0,0,0,100,999,100
"Khalid Usman","Pace","PSL","Peshawar Zalmi",2021,1,10,8,1,0,1,125,8,57.1
"Khalid Usman","Spin","PSL","Peshawar Zalmi",2021,1,7,6,0,1,0,116.7,999,60
"Khalid Zahid","Pace","T20","Sweden",2018,1,2,3,0,0,0,66.7,999,66.7
"Khalid Zahid","Pace","T20","Sweden",2021,5,34,27,3,3,1,125.9,9,69.6
"Khalid Zahid","Spin","T20","Sweden",2021,2,32,13,1,4,1,246.2,13,125
"Khawar Abbas","Pace","T20","Saudi Arabia",2018,1,11,12,1,2,0,91.7,12,30
"Khawar Abbas","Spin","T20","Saudi Arabia",2018,1,1,2,0,0,0,50,999,50
"Khawar Ali","Pace","T20","Oman",2016,2,35,35,2,4,2,100,17.5,24.1
"Khawar Ali","Spin","T20","Oman",2016,1,7,5,0,0,1,140,999,25
"Khawar Ali","Pace","T20","Oman",2017,4,17,24,1,2,0,70.8,24,40.9
"Khawar Ali","Spin","T20","Oman",2017,4,30,34,3,3,0,88.2,11.3,58.1
"Khawar Ali","Pace","T20","Oman",2019,14,153,147,9,17,4,104.1,16.3,48.4
"Khawar Ali","Spin","T20","Oman",2019,8,54,59,5,5,3,91.5,11.8,31.4
"Khawar Ali","Pace","T20","Oman",2020,1,18,11,0,3,0,163.6,999,75
"Khawar Ali","Spin","T20","Oman",2020,1,54,34,0,5,2,158.8,999,81.5
"Khawar Zafar","Pace","T20","Saudi Arabia",2020,1,1,1,0,0,0,100,999,100
"Khawar Zafar","Spin","T20","Saudi Arabia",2020,1,4,2,1,1,0,200,2,0
"KHD Barker","Pace","NTB","Warwickshire",2016,1,4,6,0,0,0,66.7,999,66.7
"KHD Barker","Spin","NTB","Warwickshire",2016,1,1,2,1,0,0,50,2,50
"KHD Barker","Pace","NTB","Warwickshire",2017,3,12,13,2,0,1,92.3,6.5,50
"KHD Barker","Spin","NTB","Warwickshire",2017,1,32,20,1,3,1,160,20,87.5
"Khin Aye","Pace","T20","Myanmar",2018,3,5,30,1,0,0,16.7,30,16.7
"Khin Aye","Spin","T20","Myanmar",2018,3,7,40,3,0,1,17.5,13.3,2.6
"Khizar Hayat","Pace","T20","Malaysia",2020,6,41,33,2,5,0,124.2,16.5,75
"Khizar Hayat","Spin","T20","Malaysia",2020,5,63,49,3,5,2,128.6,16.3,73.8
"Khizar Hayat","Pace","T20","Malaysia",2021,1,1,2,1,0,0,50,2,50
"Khizar Hayat","Spin","T20","Malaysia",2021,2,5,13,1,0,0,38.5,13,38.5
"Khizer Ahmed","Pace","T20","Norway",2019,3,17,22,1,1,0,77.3,22,61.9
"Khizer Ahmed","Spin","T20","Norway",2019,3,15,24,1,0,0,62.5,24,62.5
"Khurram Manzoor","Pace","PSL","Karachi Kings",2018,6,87,75,5,10,2,116,15,55.6
"Khurram Manzoor","Spin","PSL","Karachi Kings",2018,5,34,46,1,2,0,73.9,46,59.1
"Khurram Manzoor","Pace","T20","Pakistan",2016,3,11,28,3,1,0,39.3,9.3,25.9
